t,lead_I
1777.7,-121329.75000000001
1779.7,-121340.85
1781.7,-121358.05
1783.7,-121385.3
1785.7,-121416.25000000001
1787.7,-121442.65000000001
1789.7,-121466.05000000002
1791.7,-121495.6
1793.7,-121534.5
1795.7,-121575.35
1797.7,-121606.9
1799.6,-121622.99999999999
1801.6,-121629.2
1803.6,-121637.85
1805.6,-121651.85000000002
1807.6,-121662.1
1809.6,-121663.85000000002
1811.6,-121663.30000000002
1813.6,-121666.55000000002
1815.6,-121673.85
1817.6,-121684.15000000002
1819.6,-121694.60000000002
1821.6,-121702.35
1823.6,-121712.35
1825.6,-121731.20000000001
1827.6,-121751.55
1829.6,-121757.5
1831.6,-121743.99999999999
1833.6,-121718.45
1835.6,-121684.2
1837.6,-121632.29999999999
1839.6,-121550.49999999999
1841.6,-121437.1
1843.6,-121304.45000000003
1845.6,-121165.65000000002
1847.6,-121021.85
1849.6,-120869.95000000003
1851.6,-120718.75000000003
1853.6,-120588.05000000003
1855.6,-120492.75000000003
1857.6,-120432.10000000002
1859.6,-120396.3
1861.6,-120381.2
1863.6,-120389.3
1865.6,-120415.45
1867.6,-120443.8
1869.6,-120464.5
1871.6,-120482.40000000001
1873.6,-120506.20000000001
1875.6,-120542.6
1877.6,-120600.40000000001
1879.5,-120685.95000000001
1881.5,-120794.50000000001
1883.5,-120917.35
1885.5,-121053.0
1887.5,-121203.15000000001
1889.5,-121362.05
1891.5,-121515.4
1893.5,-121646.0
1895.5,-121743.05
1897.5,-121808.80000000002
1899.5,-121849.30000000002
1901.5,-121858.90000000002
1903.5,-121831.90000000001
1905.5,-121787.05
1907.5,-121754.55
1909.5,-121739.9
1911.5,-121725.75
1913.5,-121705.1
1915.5,-121688.55
1917.5,-121685.05
1919.5,-121691.65000000001
1921.5,-121698.65
1923.5,-121699.0
1925.5,-121696.95
1927.5,-121701.4
1929.5,-121710.05000000002
1931.5,-121711.65000000001
1933.5,-121703.00000000003
1935.5,-121690.45000000001
1937.5,-121678.95000000001
1939.5,-121670.40000000001
1941.5,-121664.90000000002
1943.5,-121658.15000000001
1945.5,-121645.85
1947.5,-121631.95000000001
1949.5,-121623.95
1951.48,-121621.90000000001
1953.45,-121617.8
1955.43,-121604.95000000001
1957.4,-121585.35
1959.4,-121568.75
1961.4,-121561.04999999999
1963.4,-121555.2
1965.4,-121541.2
1967.4,-121522.7
1969.4,-121513.3
1971.4,-121517.90000000002
1973.4,-121527.55
1975.4,-121531.5
1977.4,-121528.50000000001
1979.4,-121525.8
1981.4,-121529.8
1983.4,-121537.40000000001
1985.4,-121539.35
1987.4,-121532.70000000003
1989.4,-121525.45000000001
1991.4,-121525.75
1993.4,-121531.3
1995.4,-121533.90000000001
1997.4,-121531.84999999999
1999.4,-121531.55
2001.4,-121536.79999999999
2003.4,-121543.24999999999
2005.4,-121544.7
2007.4,-121539.25000000001
2009.4,-121528.65000000002
2011.4,-121517.65000000002
2013.4,-121511.10000000002
2015.4,-121507.10000000002
2017.4,-121498.95000000001
2019.4,-121486.74999999999
2021.4,-121479.05
2023.4,-121479.9
2025.4,-121483.5
2027.4,-121481.8
2029.4,-121470.65000000001
2031.38,-121452.05000000002
2033.35,-121434.95000000001
2035.33,-121425.00000000001
2037.3,-121413.50000000001
2039.3,-121389.15
2041.3,-121358.55
2043.3,-121338.0
2045.3,-121327.95000000003
2047.3,-121313.35000000002
2049.3,-121287.20000000001
2051.3,-121258.3
2053.3,-121237.95
2055.3,-121227.9
2057.3,-121218.7
2059.3,-121199.75
2061.3,-121172.84999999999
2063.3,-121150.2
2065.3,-121135.85
2067.3,-121121.6
2069.3,-121104.15000000001
2071.3,-121090.5
2073.3,-121084.09999999999
2075.3,-121080.8
2077.3,-121078.1
2079.3,-121075.90000000001
2081.3,-121071.40000000001
2083.3,-121063.60000000002
2085.3,-121059.00000000001
2087.3,-121063.20000000001
2089.3,-121071.45000000001
2091.3,-121075.1
2093.3,-121073.95
2095.3,-121076.3
2097.3,-121087.85000000002
2099.3,-121103.5
2101.3,-121112.15000000001
2103.3,-121111.40000000001
2105.3,-121113.90000000002
2107.3,-121132.05000000002
2109.3,-121158.84999999999
2111.28,-121176.4
2113.25,-121181.79999999999
2115.23,-121191.0
2117.2,-121214.8
2119.2,-121245.25
2121.2,-121270.35
2123.2,-121289.7
2125.2,-121311.2
2127.2,-121341.1
2129.2,-121377.90000000001
2131.2,-121410.50000000001
2133.2,-121430.10000000002
2135.2,-121445.1
2137.2,-121469.8
2139.2,-121502.20000000001
2141.2,-121532.70000000003
2143.2,-121560.6
2145.2,-121583.15000000001
2147.2,-121592.85
2149.2,-121600.84999999999
2151.2,-121627.85
2153.2,-121666.1
2155.2,-121689.84999999999
2157.2,-121699.84999999999
2159.2,-121717.4
2161.2,-121746.7
2163.2,-121776.2
2165.2,-121798.4
2167.2,-121809.9
2169.2,-121813.7
2171.2,-121826.20000000001
2173.2,-121855.6
2175.2,-121881.49999999999
2177.2,-121885.4
2179.2,-121883.55
2181.2,-121898.45000000001
2183.2,-121922.55
2185.2,-121940.1
2187.2,-121955.40000000001
2189.2,-121973.75
2191.18,-121988.15000000001
2193.15,-121998.20000000001
2195.13,-122010.35
2197.1,-122018.49999999999
2199.1,-122015.99999999999
2201.1,-122014.19999999998
2203.1,-122023.4
2205.1,-122036.60000000002
2207.1,-122046.55000000002
2209.1,-122055.10000000002
2211.1,-122061.50000000003
2213.1,-122064.85000000002
2215.1,-122073.55000000002
2217.1,-122091.70000000001
2219.1,-122107.75
2221.1,-122112.75
2223.1,-122115.7
2225.1,-122128.2
2227.1,-122145.3
2229.1,-122154.3
2231.1,-122153.70000000001
2233.1,-122155.85000000002
2235.1,-122171.25000000001
2237.1,-122195.15000000002
2239.1,-122212.30000000002
2241.1,-122215.60000000002
2243.1,-122213.35000000002
2245.1,-122215.05000000002
2247.1,-122219.70000000001
2249.1,-122222.25
2251.1,-122222.34999999999
2253.1,-122222.2
2255.1,-122225.15000000001
2257.1,-122234.90000000002
2259.1,-122248.30000000002
2261.1,-122255.3
2263.1,-122254.34999999999
2265.1,-122255.09999999999
2267.1,-122262.54999999999
2269.1,-122271.45
2271.08,-122277.45
2273.05,-122279.85
2275.03,-122278.85
2277.0,-122280.40000000001
2279.0,-122292.55
2281.0,-122310.45000000001
2283.0,-122322.15000000001
2285.0,-122329.49999999999
2287.0,-122344.25
2289.0,-122366.90000000001
2291.0,-122386.45
2293.0,-122396.55
